- bodumedi	religious
sukirimorara	grape-sugar
sukirintsimading	hyperglycaemia / hyperglycemia / high blood sugar
sukiritlasemading	hypoglycaemia / hypoglycemia / low blood sugar
sukiritlhago / dekeseterouse	dextrose / dextroglucose
sukiritlhago / tlelekhose	glucose
sunetsa	sniffle
supa	seven
supa / kaela	point
supa / supetsa / bontsha	indicate
supa ka go totobatsa	pinpoint
supetsa / bontsha	show
susakhutsana	orphan’s pension
sutisa	move
sutlhelela	overlap
sutlhelela	qualify
swaba	wilt
swaba	wither
swabisa / tlontlolola	embarrass
swato	pellagra
switšhithibedi / konopothibedi / kgokgwanethibedi	trip switch
taelo	instruction
taelo / tolamo / thulaganyo	order
taelokgapelo	garnishee order
taelosemolao	lawful instruction / lawful order
taelotuelo	stop order
taemane	diamond
taenamo	dynamo
taeokosaete ya sebabole	sulphur dioxide
tafole	table
tafole ya tshwao-kaenke	inking table
tafolebodirelo	bench
tafoleikwadiso ya batlhophi	voter registration table
tafolepampiritlhopho / tafolebaloto	ballot paper table
tagi	alcohol
taka / semari	plaster
takatsatsa	slurry
takoletlalo / thathu / tshuboletlalo	tattoo
talafalelaruri / motalafalelaruri	evergreen tree
talente ya mmino	musical talent / musikale talent
taletso	invitation
tama	dam
tama	dam up
tamati	tomato
tang / kenipitang	pliers
tanka	tank
taolelo	mandate
taolelomelemo	prescription
taolelomolemo	prescription drug
taolo	control
taolo	control / majority control
taolo ka palopotlana	minority rule
taolo ya bontsi	majority rule
taolo ya matlhotlhapelo / taolomaemo a matlhotlhapelo	disaster management
taolo ya molao	rule of law
taoloboitshwaro ya lekoko	party discipline
taoloboleng	quality control
taoloitirisi	automatic control
taolokgwebo	business management
taolomadi	money management
taolomosi	smoke control
taolopotfolio	portfolio management
taolopuso / pusofatso	nationalisation
taolotatelano	sequential control
taolotlhokomelo ya bagodi	geriatric care management / elder care management / GCM
taolotshireletso	security control
taolotshosetso	risk management
taolwana	rule
tapole	potato
tata / diso	thrush
tata ya phona / sebabo / tata ya nnyo	vaginal thrush
tataisa	mentor
tataiso	mentoring
tatelano	array
tatelano	sequence
tatelano e e siameng	correct sequence
tatelano ya dikonopo	key order / key sequence
tatelanopalo	number sequence
tatelanosenthago / santhago	reverse order
tatelanototobalo	specific order
tatelanototobatso / tatelano e e totobaditsweng	specified order
tatelelo	follow-up
tatelokalafo / lenaneokalafo	regimen
tatelokalafo / lenaneokalafo / thulaganyokalafo	protocol
tatelotaelokalafi / tiragatsokalafi	medication compliance
tatlhegelo	forfeiture
tatlhegelo-ka-ditlamorago	consequential loss
tatlhegeloikonomi	economic loss
tatlhegeloponotšhono	opportunity cost
tatlhegelotlole / tatlhegelomadi	capital loss
tatlhegelotlotlo	financial loss
tatlhelo e e sa dumelelwang / tatlhelo e e fosagetseng	foul throw
tatso	taste
tatso / moutlwalo	taste
tau	lion
tau e namagadi	lioness
tautona / moporesidente / moporesitente / mopresidente	president
tautona yo a iseng a tlhophiwe / ntlhopheng wa boporesidente / ntlhopheng wa bopresidente	president-elect
tayote	diode
tayote ya sentshasedi	light emitting diode / LED
teatere ya mmino / bodiragaletsommino	musical theatre
tebalo	amnesia
tebego	appearance
tebegontle	external appearance
tebegontle	visual balance
tebela kgwele / lelekisa kgwele	chase the ball
tedu / legwagwa	whisker
tee ya mesunkwane	herbal tea
tefelokgwebiso / tuelokgwebiso	brokerage fee
tefelopele / tuelelopele	up-front fee
tefiso / thekiso	transaction fee
tefisokgweriso	initiation fee
tefisokhutlisogale	early termination fee
tefo / tharifi	tariff
tefotirelo / tuelotirelo	service fee / fee for service
tefotlase / tefonnye	minimum wage
tefotshelo / tuelotshelo	living wage
tekanakana	feeler
tekani	dimension
tekanotirisotlotlo	fiscal neutrality
tekanotlole	capital adequacy
tekanotshelo	bioequivalence / biological equivalence / BE
tekanyadino	equaliser
tekanyetsamolemo wa bagodi	adult dose
tekanyetso	limit / maximum amount
tekanyetso	proportion
tekanyetso / phopholetso	estimation
tekanyetsobosaiketlang	volatility
tekanyetsokabo	budget
tekanyetsokaboditsalapa	household budget
tekanyetsokabotlhomameng	balanced budget
tekanyetsolato / tekanyetsokoloto	credit limit
tekanyetsomowa	air-conditioning
tekanyetsotolamiso	adjustment estimate
tekanyo	measure
tekanyo	measurement
tekanyo / selekanyo	measurement
tekanyo / tekanyetso / seelo	limit
tekanyo e e nepagetseng	accurate measurement
tekanyofatshe	surveying
tekanyogouta	gold standard
tekanyosetsibogi / thaethereišene	titration
tekanyotota	actual measurement
tekatekano	balance
tekatekano	equality
tekatekano	equilibrium
tekatekano	symmetry
tekatekano ya lotso	racial equality
tekatekano ya sepoletitki	political equality
tekatekanobong	gender equality
tekatekanokakaretso	general equilibrium
tekatekanyothapo	employment equity
tekelelo	adventure
tekelelo	venture
tekelelo e e laotsweng	controlled trial
tekelelo ya bontsi	large simple trial / LST
tekelelo ya lebolelamading / ELISA / tekelelomadi ya HIV	ELISA
tekelelokgwebo	business venture
tekelelolaboratoring	laboratory test
tekelelomelemo	drug trial
tekelelopele ya kalafi	preclinical study
tekelelotaolophapaanyo	randomised controlled trial / RCT
tekeletso / itekelelo	experiment
tekeletsokalafi	medical experiment
teko	test
teko ya selekanomogare	viral load test
tekokalafo	clinical trial
tekolelo ya lebolelamading / tlhatlhobelo ya HIV	HIV test / Aids test
tekomadi / tlhatlhobomadi	blood test
tekopotlako	rapid test
tekotemogobolwetse	diagnostic test
tekothibii ya letlalo	tuberculin skin test / tuberculin test
tekothothetsomadi ya Western	Western blot test
tekotiragatso	audition
tekotlhatlhobo	screening test
telele go	longer than
telesetso / karolosusa / tshuisokompa / pelesetso / tshuiso	gratuity
temana	paragraph
tematheto / temana	stanza
temo	cultivation
temoforo	trench farming
temogo	recognition
temokerasi	democracy
temokerasi ka kemedi	representative democracy
temokerasi ya Molaotheo	constitutional democracy
temokerasi ya batho fela	grass-roots democracy
temokerasi ya thuanyo	conciliatory democracy
temokerasi ya tlhakanelopuso	consociational democracy
temolosi / temobodiko	contour ploughing
temosakotsi	black-box warning
temosi	hint
temosi	sense
temothuo	agriculture
temothuo / bolemirui	farming
temothuokgwebo	commercial agriculture
temothuokgwebo	commercial farming
tempele	temple
tena / kgopisa	spiteful
tenego	anger
tente	tent
teosešwa	rename
tepathitho / themomitara	thermometer
tepokgato	staging
teponako	timing
terama	drama
teramotene	turpentine
terapesiamo	trapezium
terasevesethaete / terasi	transvestite / cross-dresser
teratamebitlwa	barbed wire
terebe / morara	grape
teregetere / fanele	funnel
terekere	tractor
terilione	trillion
tetla	permission
tetla / tumalano	consent
tetlaituelo / tokelotuelo	set-off
tetlakgwebo	franchise
thaba	mountain
thabalekgwamolelo	volcanic mountain
thabo	tub
thabolu	tableau
thadisa / tlhagisa	express
thaele	tile
thaele ya dibatabata / thaele ya mosaiki	mosaic tile
thaele ya legong	shingle
thaele ya mokokotlo / thaele ya mokwatla	ridge tile
thaele ya seramiki	ceramic tile
thaelemosele	drain tile
thaelethulelo	roof tile
thaeletsopa / thaeleseleiti / thaelekwari	quarry tile
thaeme	thyme
thaere	tyre
thaere e e buduletsweng / thaere e e pompetsweng	inflated tyre
thaga	finch
thaga	songbird
thaga	weaver
thagamoso / moragamoso	morning glory
thagelomorago	back pass / backward pass / ball back
thago	shot
thago e e sa tlhamalalang	indirect free kick
thago e e tlhamaletseng	direct free kick
thago go tswa dipaleng / go dima	goal kick
thago ka gangwe moweng / lerumomoweng	volley
thago ya moloreng / thago ya penele	penalty kick / spot kick
thagokgabaganyo	crossfield pass
thagotlhamalalo	free kick
thagotshwetso	sudden death
thaka / molekane	peer
thakatshesane	teenager
thala / kgwarela	score
thala / lelesela / sesa	sail
thala / rala / tshwantsha	draw
thaleke	talc / talcum powder
thalo-ka-seago	as-built drawing
thalokgethiso	tax bracket
thalosešwa / thalotlhabololo	redraw
thankgololo	place kick
thanodi	dictionary
thaopa	recruit
thapa	employ
thapama	after noon / p.m. / post meridiem
thapo	core
thapo	stone
thapo	twine
thapo ya mathaleraro	three-wire cord / three-wire electrical cord / three-cord wire
thapo- ka- botsala	cronyism
thapolo	disadvantage
tharaano	problem
tharabololo	problem solving
tharabololo	solution
tharo	three
tharo gabedi	three squared
thatafalotshika	arteriosclerosis
thatangaologo	tensile strength
thatanoikanyego	faithful relationship
thataro / tshela	six
thataro-seraro	six cubed / six to the power of three
thathariki	tartaric acid
thathua	tattoo
thaya / baya	set
thebaene	turbine
thebe	shield
thebolotekanyetsokabo	budget vote
thedimosa	laminate
thedimosi	laminate
thefosano ya kelomotlakase	alternating current
thefosanogase	gaseous exchange
thefosanomadi ya boditšhaba / kananyomadi ya boditšhaba	foreign exchange
thegerege	pulp
theipi ya go bipa	masking tape
theipi ya legora	demarcation tape
theipikganedi	insulation tape
theipikgomaredi	sticky tape
theipitshireletso	security tape
thekenikiphepafatso	aseptic technique
thekenoloji	technology
thekenoloji ya nano	nanotechnology
thekenoloji ya setso	traditional technology
thekenoloji ya tshedimosetsotlhaeletsano	information communication technology / ICT
thekisi	taxi
thekiso	retail
thekisotsibolo	flotation
thekno	techno
theko ka inthanete	e-commerce
thekokhiro	rent-to-buy / rent-to-own
thekopeeletso	lay-by / layby
thekothekiso	arbitrage
thelebišene	television / television set
thelebišene	television / television set / TV set / television
thelebišene	television set / television / TV
theleso / tlamelo	supply
theletsane	sash window / cased window
themo	viscosity
thempereitšha ya botlalogolo	maximum temperature
thempereitšhapotlana	minimum temperature
themperetšha ya mmele	temperature / body temperature
themperetšhara	temperature
themphereitšha ya tikologo	ambient temperature
theokgetho / motswedikgetho	tax base
thepe	tap
thepetlano	paralysis
thepetlano ya dithwe	cerebral palsy
therakhoma	trachoma
theraoto	trout
therariamo	terrarium
therei	tray
therisanelo / puisanelo	consultation
therisano	negotiation
thero	sermon
thetefatsopilisi ya tsorwane	enteric coating
thethenase	tetanus
thetophoromaikutlo / thetothokotsomaikutlo	romantic ballad
thiamaene	thiamine
thibela	prevent
thibela / thopa / kgatlhanyetsa	intercept
thibelakimo / thibelapelegi	contraception
thibelatutlo / kgomô	flashing
thibelelo sere / tshireletso sere	containment
thibelo	prevention
thibelo / pitielo / kgomô	insulation
thibelokgwebisano / kemisokgwebisano	economic sanctions
thibelophetetso-ngwaneng	prevention of mother-to-child transmission / PMTCT
thibii / lohuba	tuberculosis / TB
thini	tin
thini ya dijo / moteme wa dijo / bolekana jwa dijo	food tin
thinifatso / molodithini	tinnitus
thinyega / phetsega / tsipoga	sprain
thiodolaete	theodolite
thipa	knife
thipapetla / phalo	craft knife
thitelo	screed
thitelontle	cladding
thitibatso	narcosis
thitibatso morago ga teko / kgopololo morago ga teko	post-test counselling
thitibatso pele ga teko / kgopololo pele ga teko	pre-test counselling
thitokgang / morero / kgankgolo	subject matter
thobadiso	bed rest
thobadiwakokelong / ladiwa mo bookelong / robadiwa mo kokelong	hospitalize
thobalano	sexual activity
thobalano / nyokano	heterosexual intercourse
thobalano / nyokano	sexual contact
thobalano / tshomelopolo / nyokano	penetrative sex
thobalanofela / nyokanofela	casual sex
thobalanoomileng / nyokanoomileng	dry sex
thobalanorope	thigh sex
thobalanotshika	incest
thobalonopabalesego / thobalanotshireletsego	safer sex
thobalophologolo	bestiality
thobane / lore / tsamma	rod
thobanetobele	dowel stick
thobego	fracture
thobegobebe	brittleness
thobegokobo	green-stick fracture
thobo / kotulo	harvest
thobomaikutlo / thitibatsomaikutlo / kgophololo	counselling
thobomaikutlo ya baratani / thitibatsomaikutlo ya baratani / kgophololo ya baratani	couple counselling
thobommele	body popping
thobuelokopololo	jack-knife
thobunyetsa / thobuetsa	dip
thogo / tlhapatso / thogako	insult
thojana / lerolejana	dust particle
thoko / phunyo	awl
thokwanyana	light brown
tholelodithata	proxy consent
tholo	kudu
thologelotlase ya batlhophi	low voter turnout
thologelotlase ya ditlhopho	voter apathy
tholomaikarabelo	indemnity
tholotiro	retirement
tholotiro / phenšene	pension
tholotirogale / tholotirobonako / tlogelotirobonako	early retirement
thomelokgabaganyo	square pass
thomelontle	export
thomotlhalemaleje / thomotsamaiso / tetlotsamaiso	discretionary mandate
thomotlhokatlhalemaleje	non-discretionary mandate
thoniki	tonic
thopa	abduct
thopa	capture
thopa / gapa / tseela	repossess
thopothoto / tseelothoto	repossess
thoro	transport / transportation
thoro / tlhaka	grain
thoro ya korong / tlhaka ya korong	wheat grain
thorofatsokomiso	dry granulation
thosola	syphilis
thotamadi / belehasia	bilharzia
thotana	foothills
thoteladikobo	bed wetting / enuresis
thothetsamolemo / thothetsasetlhare	medicine dropper
thothinyana / thothana	droplet
thothiso	distillation
thothobolo / mokoa	heap
thotloetso	motivation
thotloetsokgolo	cheerleading
thoto	asset
thoto / stoko	stock
thotobolo	dump
thotobolo	dump site
thotoporaefete	private property
thotothekiso / serekiswa	merchandise
thotothekisonolo	liquid asset
thotothekiswa / sefantiswa	lot
thototlhakanelo	encumbered asset
thototlhokathekisego	non-liquid asset
thototlhokatshosetso	risk-free asset
thototlhokatshwarego / thotokakangwa	intangible asset
thototlhokatshwarego / thotokakangwa	intangible asset / see tangible asset
thototlhomameng / thototlhomamo	fixed property / fixed asset
thototshwarego	physical capital
thototshwarego	tangible asset
thuanyo	conciliation
thuba / fetola	change
thuba / roba	break
thubelelo / kabelelo / petelelo	rape / indecent assault
thubolebelo	race
thuga / gaila / tšhwatla	crush
thugo / tshilo	digestion
thula ka tlhogo	header
thulaganotlhaeletsanokhubu	wireless application protocol / WAP
thulaganyo	system
thulaganyo	tabulation
thulaganyo ka ditlhopha	grouping
thulaganyo karolotshalelo	fractional reserve system
thulaganyo kgatelelokedi	hydraulic system
thulaganyo kgwebisano gololosegileng	free enterprise system
thulaganyo phologelo	descending order
thulaganyo sedemokerasi / thulaganyo setemokerasi	democratic system
thulaganyo ya dipalo	numerical system
thulaganyo ya dipalo	order of the numbers
thulaganyo ya ditlhopho	election system / electoral system
thulaganyo ya ditlhopho	voting system
thulaganyo ya kemediesi	single-member system
thulaganyo ya kgaolotlhopho / thulaganyo ya karolotlhopho	constituency system
thulaganyo ya kgwebisano e e gololesegileng	free enterprise system
thulaganyo ya leloko tlaleletso / thulaganyo ya tokololotlaleletso	additional member system
thulaganyo ya makokomantsi	multiparty system
thulaganyo ya mebaraka e e gololosegileng	free market system
thulaganyo ya megala ya motlakase	electrical wiring
thulaganyo ya methapo	nervous system
thulaganyo ya moditona	tap-root system
thulaganyo ya theteletso	dance sequence
thulaganyo ya tlhophogabedi	two-round system / TRS / two-round electoral system
thulaganyo-katerole / thulaganyo - maotwanakgogisi	pulley system
thulaganyoikonomi / mokgwaikonomi	economic system
thulaganyoino	dentition
thulaganyokere	gear system
thulaganyomethapo	nervous system
thulaganyomodi	root system
thulaganyontshomosi	exhaust system
thulaganyopalo	number system
thulaganyopalo / palotatelano	number array
thulaganyopelegi	family planning
thulaganyophepo	feeding scheme
thulaganyopoloko / leanopoloko	savings plan
thulaganyopolokopakaleele / leanopolokopakaleele	long-term savings plan
thulaganyosebedi	binary system
thulaganyoseileketeroniki	electronic system
thulaganyosešwa	regroup
thulaganyosomeng	decimal format
thulaganyosomeng	decimal system
thulaganyotheleso / thulaganyotlamelo	supply chain
thulaganyothugo / tselatshilo	digestive system
thulaganyotshameko / lenaneotshameko	fixture
thulaganyotshameko / sebopego	formation
thulaganyotshouto	immune system
thulamo	gradient
thulano ka phoso	accidental collision
thulano ya dikgatlhegelo	conflict of interest
thulelelogodimo	built-up roof
thulelo - ka - bojang	thatch roof
thulelo seDatšhe / thulelo ya seholannere	Dutch gable roof
thulelo ya bonete	bonnet roof
thulelo ya mathulamothulamo	curb roof
thulelo ya mothulamelagongwe	shed roof
thulelo ya sefora	mansard roof
thulelo ya sekotšhe	cross hipped roof
thulelo ya serotobolo	domed roof
thuleloikemelo	mono-pitch roof / single-pitch roof
thulelomela / thulelotala	green roof
thulelontlhana	gambrel roof
thulelontlhana	hip roof
thulelontlhanakgatsha	hip and valley roof
thulelophaphathi / polata	flat roof
thuleloritšwagare	half-hip roof
thulelorurubele	butterfly roof
thulelosesale	saddle-back roof
thulelotlhoa / thulelotlhotlho / thulelophiramiti	pyramid hip roof
thuma, šapa	swim
thumotirisomaoto	doggie-paddle / doggy paddle / dog paddle
thuno	audit
thuntshwane / motsoko wa mankgodi	mushroom
thunya	bloom
thunya	blossom
thunya	explode
thunyotlhagala / tlhogotlhagala	neoplasm
thuonong	poultry
thupana / takata	baton
thupanakotaoloso	stopwatch
thupiso / kgweriso	circumcision / see also female circumcision
thupiso / koma	initiation
thupiso ya mosetsana / kgweriso ya mosetsana	female circumcision / female genital mutilation
thurugathoba / thurugalebele / thurugotogwa	mastitis
thurugatogwa ya boko	meningitis
thurugo	inflammation
thurugo / idema	oedema / edema
thurugo ya lelalegolo	diverticulitis
thurugo ya mantshwatshwa / thurugo ya disaenase	sinusitis / sinus infection
thurugoboko	encephalitis
thurugolelana	appendicitis
thurugolotha lwa nko	rhinitis
thurugomala	enteritis
thurugophilo	nephritis
thurugoteng / thurugomala	gastroenteritis
thurugoteng ya dirwesesadi / thurugoteng ya dirwetsalo	pelvic inflammatory disease / PID
thurugotokololo / kaoto	gout
thurugotshika / pudulogotshika	aneurysm
thusiwa go bouta / thusiwa go tlhopha / thusiwa go vouta	assisted voting
thuso boditšhaba	foreign aid
thusoikonomi	economic aid
thusokalafi	medical help
thutabonetetshitlholego	natural science
thutadimela	botany
thutafatshe	geography
thutafatsofatshe	global warming
thutakgatelelokedi	hydraulics
thutapopego	anatomy
thutasemphato / thutoselekane	peer education
thutatekanyo	geometric
thutatekanyo	geometry
thutathobalano	sex education
thutatlhokomelo ya tirisomelemo	pharmacovigilance / PV
thuthuga	hatch
thutiso	exercise
thutlwa	chicken pox
thutlwa	giraffe
thuto	education
thuto	lesson
thuto	moral
thuto ka ga Aids / thutaphate	Aids education
thuto ka ga jese	jazz education
thuto ya baagi	civic education
thuto ya batlhopi	voter education
thutobodirisi	consumer education
thutoditlhopho	voter education
thutothulaganyothoto	ergonomics
thutotlotlo	financial education
thutototadipoelo / OBE	outcomes-based education / OBE
thôôthôô / konorea / teropo	gonorrhoea / clap / drop
tibelo	quarantine
tigokgwele	drop ball
tikologo	environment
tikologo	surroundings
tikologokgogedi	magnetic field
tikologotlhago / tlholegotlhago	natural environment
tikoloso	torsion
tikolosoledi	choice of ends
tikolosoledi	toss
tikotshelo / tshekotshelo	life cycle
tikwatikwe ya botsweretshi / sentha ya botaki / tikwatikwe ya botaki / sentha ya botsweretshi	arts centre
tima	switch off
timola	neutralisation
timola	neutralise
timola / tlhaphola / tlhaolosa	dilute
timpala / lotobo / letobonyana	dull
tiragalo	incident
tiragalo ya sepoletiki	political event
tiragalokai	scenario
tiragalotshoganyetso / tiragalokotsi	sentinel event
tiragatso	application
tiragatso	operation
tiragatso	performance
tiragatso	rendition
tiragatso e e nyalanang kgotsa amanang	related operation
tiragatso ya jese	jazz performance
tiragatsokopelo	vocal performance
tiragatsommileng	street theatre
tiragatsommino	musical performance / musical recital
tiragatsotshelo	docudrama
tirego	process
tirego	reaction
tirego / tsela	process
tiregopolasetiki / bodirapolasetiki	plastics
tirelo ya melaetsakhutshwe / SMS	SMS / short messaging service / short message service
tirelokemonokeng ya selegae	community support service
tirelokgaso	broadcasting service
tirelokgaso ya setšhaba	public broadcasting service
tirelokgasogae	community broadcasting service
tirelokgasokgwebo	commercial broadcasting service
tirelopuso / bodiredipuso	public service / civil service
tireloreki / tirelodirisi	customer service
tirelotlotlo	financial service
tirelotsereganyo / tirelopuelelo	intermediary service
tirisano / tshwaragano ya ditlhopha tsa dipoletiki	apparentement / election coalition / electoral alliance / electoral pact
tirisano ka tsa mmino	musical collaboration
tirisanomelemo	drug interaction
tirisetsokgwebo	commercial use
tiriso	function
tirisobotlhaswa	abuse
tirisobotlhaswa / thugo	misappropriation
tirisobotlhaswatlole / tshenyotlole	misuse of funds
tirisodikgoka / tlhakatlhakanyo	violence
tirisodinaopedi	double-footed
tirisogape / popogape / poposešwa / tiriswagape	recycling
tirisokgopolo	memory function
tirisomaatla	energy consumption
tirisomaatla / methabolisime	metabolism
tirisomadi	consumption expenditure
tirisomadi	flow of money
tirisomaswemmaraka / tirisompemmaraka	market abuse
tirisometsi	water consumption
tirisophetisogolo	dissaving
tirisophetolo / tirisopitikololo	inverse operation
tirisotlolentsi	capital intensive
tiro	activity
tiro	assignment
tiro	chore
tiro	employment
tiro	function
tiro	job
tiro	labour / labor
tiro	occupation
tiro ya diatla	handicraft
tiro ya dibaga ya setso	traditional beadwork
tiro ya palamente	business of parliament
tiro ya setso	cultural activity
tiroatla	handiwork
tiroatla	manual labour
tiroatla / bobetli	craft
tironolo	menial labour
tirotsenelelo	labour intensity
tirôgong	millwork
tlabolang / -fisang	caustic
tladi	lightning bolt
tlae	egg yolk
tlakisa / sika / tlhoka	prancing
tlala	spread
tlaleletso	additional
tlaleletso	supplement
tlaleletso / tiiso / thatafatso	reinforcement
tlaleletsokoketso	additional excess
tlaletsa	strand
tlaletswe	stranded
tlamanyi / segokaganyi	cramp / clamp
tlamego ya nakwana	temporary obligation
tlamela	supply
tlamela	support
tlamelo / theleso	supply
tlamelobadiri	labour supply
tlamelometsi	water supply
tlamelothuso	welfare
tlamothoto	collateral
tlamothoto	collateral / security
tlamparela	cuddle
tlamparela	hug
tlase	down
tlase ga	below
tlatlanagwere	bulb-shaped basket
tlatsa	fill in
tlelefe ya moporo	bass clef
tlelempe / setshwareledi	vice
tlelempe / setshwari / setlapisi	clamp
tleleserini	glycerin / glycerine / glycerol
tleliniki	clinic / health clinic / health-care clinic
tleloko / tšhaeme	chime
tlelorateekgotlho	copper chloride
tlelorine	chlorine
tlelorofele	chlorophyll
tleloupu	light bulb
tletse	full
tlhaba	inject
tlhaba	slaughter
tlhabanyetso	short way
tlhabego	yeast
tlhabego ya kelelomadi	circulatory shock
tlhabo	injection
tlhaboletsatsi	sunrise
tlhabolola	amend
tlhabololo	amendment
tlhabololo ya lefatshe	land reform
tlhabololodirelo	industrialisation
tlhabololotsweletso	sustainable development
tlhaeletsano / kgokagano	communication
tlhaeletsanokgakala	telecommunications
tlhaeletsanokhubu / tlhaeletsano ka radio	wireless
tlhaeletsanophata	multimedia
tlhaeletsanoseileketeroniki	electronic media
tlhaeletso ka radio / radio / waelese / seyalemowa / seromamowa / setlhaeletsanokhubu	radio / wireless
tlhaelo	deficit
tlhaelo	shortfall
tlhaelobatshameki	short-handed
tlhaelodivithamini	vitamin deficiency
tlhaelomelemo	medication shortage
tlhaelometsi	dehydration
tlhaelotekanyetsokabo	budget deficit
tlhaelotshouto	immune deficiency / immunodeficiency
tlhagala / kankere	tumour
tlhagalatlhale	cystic fibrosis / CF
tlhagelelo	appearance
tlhagelelo	prevalence
tlhagelelo la ntlha	debut
tlhagisa	introduce
tlhagisa	nominate
tlhagisa / bopa	manufacture
tlhagisa / ntsha / ungwa	produce
tlhagisa molaotlhomo	table a bill
tlhagiso	diagram
tlhagiso	introduction
tlhagiso	nomination
tlhagiso	outline
tlhagiso	production
tlhagiso	tabling
tlhagiso / kutulolo / tshenolo	disclosure
tlhagiso / neelo	submission
tlhagiso-ka-ditshedi	bioprocessing / biological processing
tlhagisogolo	tertiary production
tlhagisommino	music production
tlhagisontsi	mass production
tlhagisosekerafo	graphical representation
tlhagisotheo	primary production
tlhagisotlaleletso	secondary production
tlhagisotshwantsho	diagrammatic presentation
tlhagisotshwantsho	television / TV
tlhago	nature
tlhaka	byte
tlhaka	foetus
tlhaka	letter
tlhaka / namane	foetus / fetus
tlhakanela khupamarama	shared confidentiality
tlhakanelo / tirisano / tshwaraganelo	coalition
tlhakanelopuso	consociation
tlhakanelothoto	in community of property / Republic of South Africa
tlhakanya	add / give the sum of / give the total of
tlhakanyi	plus
tlhakanyo	addition
tlhakanyopoeletso	repeated addition
tlhakanyotsepamo	vertical addition
tlhakatlhakano	complication
tlhakatlhakanya	freak
tlhako / tlhakwana	hoof
tlhakolomolao / phedisomolao	repeal of a law
tlhakoreng	lateral / sideways
tlhakoreng	sideways
tlhakorentsi	polyhedron
tlhakorepedi	two-dimensional
tlhakorerobedi	octahedron
tlhakoresome	decagon
tlhakoresupa	septagon / heptagon
tlhakoretekana	equilateral
tlhakoretharo	3-D object / three-dimensional object
tlhakoretharo	three-dimensional
tlhakoretharo	three-dimensional / 3D
tlhale	fibre
tlhale	thread
tlhale	yarn
tlhalefatso / kgobatiso	fibrosis
tlhalo	divorce
tlhaloganya	grasp
tlhaloganya	understand
tlhaloganyo	comprehension
tlhaloganyo	mind
tlhalosa	describe
tlhalosa	explain
tlhaloso	description
tlhaloso	explanation
tlhalosopalo	numerical expression
tlhama	invent
tlhamaganya / tlhama	compose
tlhamaganyanekgolo ya methapo	central nervous system / CNS
tlhamakanyologa / tlhamakolola / sasamologa / sasamolola	disintegrate
tlhamaletseng / simaletseng	straight
tlhamane / naane	traditional story
tlhamo	composition
tlhamo ya mothamo wa molemo / tlhamo ya tekanyetsamolemo sa molemo	dosage formulation
tlhamomananeo / thulaganyonaneo	programming
tlhamommino	musical composition
tlhamopono	visual composition
tlhampi ya ditlhomeso	bowstring truss
tlhano	five
tlhaola / kganela / thibela	debar
tlhaola / tlhopholola / kgetholola	discriminate
tlhaolela / beela thoko / kgapela thoko	isolate
tlhaolele / tlhophololo	discrimination
tlhaolelomolemo ya tirisetsosele	off-label prescribing
tlhaolosa / rarolosa	dissolve
tlhapholo / tlhaoloso	dilution
tlhapi	bream
tlhapi	fish
tlhapi	freshwater fish
tlhapi	freshwater sunfish
tlhapi ya philitšhate	pilchard
tlhapigouta	goldfish
tlhapisekanoga	eel
tlharakanya	rattle
tlhasela	attack
tlhasela makgwakgwa	charge in a dangerous manner
tlhasela motshamekakgatlhanong	charge an opponent
tlhasela sentle	charge fairly
tlhaseloipusolosetso	counterattack
tlhaselommele	physical violence
tlhaselopelo	heart attack
tlhasemotlakase	electric spark
tlhatlaganyane	storey / floor
tlhatlhama	succeed
tlhatlhamano	series
tlhatlhamano ya jaa-jewa	food-chain
tlhatlhelelo	lecture
tlhatlhoba	assess
tlhatlhoba	examine
tlhatlhoba	screen
tlhatlhoba / sekaseka	examine
tlhatlhobelomogare ya PCR	PCR test / polymerase chain reaction test
tlhatlhobelotshiamiso	diagnostic assessment
tlhatlhobo	assessment
tlhatlhobo / teko	test
tlhatlhobo ya anthijine / tlhatlhobeloselabe	antigen test
tlhatlhobo ya batlhophi ka lebone	infrared light check
tlhatlhobo ya lenaane la batlhophi	voter’s roll check
tlhatlhobomarerepopelo	Pap test / Pap smear
tlhatlhobotlhomamiso / tlhatlhobonetefatso	confirmatory test
tlhatlhobotshobokanyo	summative assessment
tlhatlhobotswelopele	formative assessment
tlhatlhosa	promote
tlhatloga	ascend
tlhatlogelotatelano	ascending order
tlhatlogo	bubble
tlhatlogo	upswing / rebound
tlhatlosotlhotlhwa	cost-push inflation
tlhatsa / go kgwa	throw up / vomit
tlhatso / ponokgwedi	menstruation / menstrual period
tlhatsosefifi	cleanse
tlhatswamadi / bogwenegwene	laundering
tlhobaelo	insomnia
tlhobaelo / tlhoroboroko	sleep deprivation
tlhobogo / tsholofologo	despair
tlhoga / mela / kukunya	germinate
tlhogo e kgolo / kopotlhogo e e tseneletseng	migraine
tlhogo ka tlhogo / bongwe ka bongwe	per capita
tlhogo ya naga / tautona	head of state
tlhogo ya terena	engine
tlhogwanagase	gas burner
tlhoka- HIV / tlhoka lebolelamading	HIV negative
tlhokabokao / bosenangbokao	meaningless
tlhokabonno / tlhokalegae	homeless
tlhokabosiamisi / tlhokatshiamo	injustice
tlhokakeletsonjo	loss of appetite
tlhokakgetholololotso	non-racialism
tlhokakgolo	zero growth
